AirSystems
,,,,,Cooling,,,,Heating,,,Fan/Ventilation,,,Controls
Name,Type,Status,System Count,Floor Area Served,Net Capacity,Design Supply T,Capacity/Area,Supply Flow/Ton,Net Capacity,Design Supply T,Capacity/Area,Supply Flow,Supply Flow/Area,Design OA,OA/Area,Control Zone Name,Temp Control,FixedT,Supply HiT,At Outdoor,Supply LowT,At OutdoorT,ReheatCtrlMthd,Availability Schedule,Night Cycle Control
,,,(#),(ft2),(Btu/hr),(degF),(Btu/ft2),(cfm/ton),(Btu/hr),(degF),(Btu/ft2),(cfm),(cfm/ft2),(cfm),(cfm/ft2),,,(degF),(degF),(degF),(degF),( degF),,,
"BaseSys7or3b SuppCoilHtg-7","Resistance","New","Electric","BaseAirSys7or3b-7",1,"n/a",39994.8,39994.8,"NONE","NONE",0,"UNDEFINED",-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-999,-99996,-99996



Fans
,,,,,Relationships,,,Capacity,,,Power,,,,Motor
Name,Control Method,Status,Class,Cent Type,System,System Qty,Zone,Maximum,Minimum,Efficiency,Modeling Method,Brake HP,Total Static,Power Index,Nameplate HP,Position,Efficiency
,,,,,,(#),,(cfm),(cfm),,,(hp),(inH2O),(W/cfm),( hp)
"BaseSys7or3b SupFan","ConstantVolume","New","Centrifugal","AirFoil","BaseAirSys7or3b",1,"n/a",1171.15,-99996,0.65,"PowerPerUnitFlow",1.00816,3.55055,0.742,1.5,"InAirStream",0.865
"BaseSys7or3b SupFan-2","ConstantVolume","New","Centrifugal","AirFoil","BaseAirSys7or3b-2",1,"n/a",1373.45,-99996,0.65,"PowerPerUnitFlow",1.1823,3.55055,0.742,1.5,"InAirStream",0.865
"BaseSys7or3b SupFan-3","ConstantVolume","New","Centrifugal","AirFoil","BaseAirSys7or3b-3",1,"n/a",1563.97,-99996,0.65,"PowerPerUnitFlow",1.3463,3.55055,0.742,1.5,"InAirStream",0.865
"BaseSys7or3b SupFan-4","VariableSpeedDrive","New","Centrifugal","AirFoil","BaseAirSys7or3b-4",1,"n/a",5379.41,2689.71,0.65,"PowerPerUnitFlow",4.64927,3.56477,0.72,5,"InAirStream",0.895
"BaseSys7or3b SupFan-5","ConstantVolume","New","Centrifugal","AirFoil","BaseAirSys7or3b-5",1,"n/a",637.507,-99996,0.65,"PowerPerUnitFlow",0.542437,3.5095,0.742,0.75,"InAirStream",0.855
"BaseSys7or3b SupFan-6","ConstantVolume","New","Centrifugal","AirFoil","BaseAirSys7or3b-6",1,"n/a",1649.73,-99996,0.65,"PowerPerUnitFlow",1.42013,3.55055,0.742,1.5,"InAirStream",0.865
"BaseSys11 SupFan","ConstantVolume","New","Centrifugal","AirFoil","BaseAirSys11",1,"n/a",1010.51,-99996,0.65,"PowerPerUnitFlow",0.672094,2.74328,0.58,0.75,"InAirStream",0.855
"BaseSys7or3b SupFan-7","ConstantVolume","New","Centrifugal","AirFoil","BaseAirSys7or3b-7",1,"n/a",2020.65,-99996,0.65,"PowerPerUnitFlow",1.73943,3.55055,0.742,2,"InAirStream",0.865



Outside Air Control
,,,,Relationships,,Control
Name,Control,Status,Design OA,Name,System Count,Econo Integration,Max OA Ratio,High DB Lockout,Low DB Lockout,High Enthalpy Lockout,OA Schedule Method,Delay,Schedule Name
,,,(cfm),,(#),,,(F),(F),(Btu/lb),,( hrs)
"BaseSys7or3b OACtrl","FixedDryBulb","New",329.973,"BaseAirSys7or3b",1,"Integrated",1,71,-99996,50,"FollowHVACAvailability",0,"NONE"
"BaseSys7or3b OACtrl-2","FixedDryBulb","New",418.689,"BaseAirSys7or3b-2",1,"Integrated",1,71,-99996,50,"FollowHVACAvailability",0,"NONE"
"BaseSys7or3b OACtrl-3","FixedDryBulb","New",591.029,"BaseAirSys7or3b-3",1,"Integrated",1,71,-99996,50,"FollowHVACAvailability",0,"NONE"
"BaseSys7or3b OACtrl-4","FixedDryBulb","New",928.369,"BaseAirSys7or3b-4",1,"Integrated",1,71,-99996,50,"FollowHVACAvailability",0,"NONE"
"BaseSys7or3b OACtrl-5","NoEconomizer","New",121.011,"BaseAirSys7or3b-5",1,"UNDEFINED",-99996,-99996,-99996,-99996,"FollowHVACAvailability",0,"NONE"
"BaseSys7or3b OACtrl-6","FixedDryBulb","New",672.813,"BaseAirSys7or3b-6",1,"Integrated",1,71,-99996,50,"FollowHVACAvailability",0,"NONE"
"BaseSys11 OACtrl","FixedDryBulb","New",19.7833,"BaseAirSys11",1,"Integrated",0.9,71,-99996,50,"FollowHVACAvailability",0,"NONE"
"BaseSys7or3b OACtrl-7","FixedDryBulb","New",272.706,"BaseAirSys7or3b-7",1,"Integrated",1,71,-99996,50,"FollowHVACAvailability",0,"NONE"
