BuildingStory
,,Floor Area (including multipliers),,,,,Ventilation (Design),,,Ventilation (For Balance),,,,,,General,,Comm. Kitchen,,Parking Garage,,Laboratory
Name,Multiplier,Total,Cond. NRes,Cond. Res,Total Cond.,Number,Total,Code Min.,Exhaust,Total,Code Min.,Tot:Min Ratio,Exhaust,Vent:Exh Ratio,Vent Mult.,Vent,Exhaust,Vent,Exhaust,Vent,Exhaust,Vent,Exhaust
,,(ft2),(ft2),(ft2),(ft2),(people),(cfm),(cfm),(cfm),(cfm),(cfm),,(cfm),,,(cfm),(cfm),(cfm),(cfm),(cfm),(cfm),(cfm),(cfm)
"Ground Floor",1,14785.8,14131.7,0.0,14131.7,198.6,7963,7907,6455,1857,1802,1.000,0,1.000,1.000,1857,350,0,0,0,0,6105,6105
"2nd Floor",1,13719.9,12908.8,0.0,12908.8,364.8,7947,8033,4880,3468,3553,1.000,0,1.000,1.000,3468,400,0,0,0,0,4480,4480

Space
,,,,,,,Occupancy,,,Ventilation,,Design Input (By Component),,,,,Minimum Req. (By Component),,,,Simulated,,,Exhaust,,,ForBalance
Name,Story Name,Condg Type,Space Function,Thermal Zone,Floor Area,Multiplier,Design,Minimum,Number,Spec. Method,Control,Per Occupant,Per Area,Per Volume,Per Space,Calculated Flow,Per Occupant,Per Area,Per Volume,Calculated Flow,Per Occupant,Per Area,Calculated Flow,Calculated Flow,Lab Exh Type,Max Kitchen,Ventilation,Exhaust
,,,,,(ft2),,(ppl/1000ft2),(ppl/1000ft2),(people),,,(cfm/person),(cfm/ft2),(ACH),(cfm),(cfm),(cfm/person),(cfm/ft2),(ACH),(cfm),(cfm/person),(cfm/ft2),(cfm),(cfm),,(cfm),(cfm),(cfm)
,,,,,(ft2),,(ppl/1000ft2),(ppl/1000ft2),(people),,,,(cfm/person),(cfm/ft2),(ACH),(cfm),(cfm/person),(cfm/ft2),(ACH),(cfm),(cfm/person),(cfm/ft2),(cfm),(cfm)
"L2_ZN02_Core Classroom","2nd Floor","Conditioned","Forced","FC-L2_ZN02_Core Classroom","DOAS-AHU",1255.3,1,45.8,45.8,43.4,"Maximum","CO2Sensors",15.1119,0.522567,2.28029,656,15,0.518697,2.2634,651,0,0.522567,-99996,198,"DOAS-AHU","UNDEFINED","UNDEFINED","NONE"
"L2_ZN07_Huddle Area","2nd Floor","Conditioned","Forced","FC-L2_ZN07_Huddle Area","DOAS-AHU",1184.3,1,50.0,50.0,44.4,"Maximum","CO2Sensors",13.5097,0.506616,2.21067,600,15,0.5625,2.45453,666,0,0.506616,-99996,181,"DOAS-AHU","UNDEFINED","UNDEFINED","NONE"
"L2_ZN04_Huddle Offices","2nd Floor","Conditioned","Forced","FC-L2_ZN04_Huddle Offices","DOAS-AHU",354.8,1,50.0,50.0,13.3,"Maximum","Fixed",18.7874,0.704528,3.45076,250,15,0.5625,2.75511,200,0,0.704528,-99996,75,"DOAS-AHU","UNDEFINED","UNDEFINED","NONE"
"L2_ZN07 North Conf","2nd Floor","Conditioned","Forced","FC-L2_ZN07 North Conf","DOAS-AHU",790.5,1,50.0,50.0,29.6,"Maximum","CO2Sensors",13.4935,0.506006,2.4784,400,15,0.5625,2.75511,445,0,0.506006,-99996,120,"DOAS-AHU","UNDEFINED","UNDEFINED","NONE"
"L2_ZN01_Core Conf Room","2nd Floor","Conditioned","Forced","FC-L2_ZN01_Core Conf Room","DOAS-AHU",1045.9,1,42.4,42.4,33.8,"Maximum","CO2Sensors",12.7213,0.410845,2.0123,430,15,0.484436,2.37274,507,0,0.410845,-99996,129,"DOAS-AHU","UNDEFINED","UNDEFINED","NONE"
"L2_ZN06 Corner Conf","2nd Floor","Conditioned","Forced","FC-L2_ZN06 Corner Conf","DOAS-AHU",361.1,1,50.0,50.0,13.5,"Maximum","CO2Sensors",18.4597,0.69224,3.39057,250,15,0.5625,2.75511,203,0,0.69224,-99996,75,"DOAS-AHU","UNDEFINED","UNDEFINED","NONE"
"L1_ZN09 N Conf Room","Ground Floor","Conditioned","Forced","FC-L1_ZN09 N Conf Room","DOAS-AHU",1517.0,1,10.0,10.0,7.6,"Maximum","CO2Sensors",39.5519,0.19776,0.90692,300,30,0.15,0.687896,228,0,0.19776,-99996,602,"DOAS-AHU","UNDEFINED","UNDEFINED","NONE"
"L2_ZN13 Core Conf Room","Ground Floor","Conditioned","Forced","FC-L2_ZN13 Core Conf Room","DOAS-AHU",1045.9,1,10.0,10.0,5.2,"Maximum","CO2Sensors",34.3617,0.171809,0.787911,180,30,0.15,0.687897,157,0,0.171809,-99996,54,"DOAS-AHU","UNDEFINED","UNDEFINED","NONE"
"L1_ZN08 NE Corridor","Ground Floor","Conditioned","Forced","FC-L1_ZN08 NE Corridor","DOAS-AHU",2278.8,1,10.0,10.0,11.4,"Maximum","Fixed",30,0.15,0.687903,342,30,0.15,0.687903,342,0,0.15,-99996,103,"DOAS-AHU","UNDEFINED","UNDEFINED","NONE"
