; Tables for Std model AutoHardSize capacity look-up rules
,"BaseVAVBox CoilHtg-4","HotWater","BaseAirSys5-2","L2_ZN05_Core Open Office Cor",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000
,"BaseVAVBox CoilHtg-5","HotWater","BaseAirSys5","L1_ZN14_Core Open Office",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000
,"BaseVAVBox CoilHtg-6","HotWater","BaseAirSys5","L1_ZN01_SE_Open Office",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000
ENDTABLE
TABLE EX06_NR_Class-Lab-DOAS-FPFC25Fan
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrBHP,MtrHP,MtrPos,MtrEff,PwrIdx
;,,,,,(cfm),(cfm),,,(inH2O),(hp),(hp),,(W/cfm)
,"BaseSys5 SupFan","VariableSpeedDrive","BaseAirSys5","UNDEFINED",0.000,-99996.000,1.000,"PowerPerUnitFlow",0.000,0.000,-99996.000,"InAirStream",1.000,0.0000
,"BaseSys5 SupFan-2","VariableSpeedDrive","BaseAirSys5-2","UNDEFINED",0.000,-99996.000,1.000,"PowerPerUnitFlow",0.000,0.000,-99996.000,"InAirStream",1.000,0.0000
,"BaseSys7or3b SupFan","VariableSpeedDrive","BaseAirSys7or3b","n/a",0.000,-99996.000,1.000,"PowerPerUnitFlow",0.000,0.000,-99996.000,"InAirStream",1.000,0.0000
,"BaseSys7or3b SupFan-2","VariableSpeedDrive","BaseAirSys7or3b-2","n/a",0.000,-99996.000,1.000,"PowerPerUnitFlow",0.000,0.000,-99996.000,"InAirStream",1.000,0.0000
,"BaseSys7or3b SupFan-3","VariableSpeedDrive","BaseAirSys7or3b-3","n/a",0.000,-99996.000,1.000,"PowerPerUnitFlow",0.000,0.000,-99996.000,"InAirStream",1.000,0.0000
,"BaseSys7or3b SupFan-4","VariableSpeedDrive","BaseAirSys7or3b-4","n/a",0.000,-99996.000,1.000,"PowerPerUnitFlow",0.000,0.000,-99996.000,"InAirStream",1.000,0.0000
,"BaseSys7or3b SupFan-5","VariableSpeedDrive","BaseAirSys7or3b-5","n/a",0.000,-99996.000,1.000,"PowerPerUnitFlow",0.000,0.000,-99996.000,"InAirStream",1.000,0.0000
,"BaseSys7or3b SupFan-6","VariableSpeedDrive","BaseAirSys7or3b-6","n/a",0.000,-99996.000,1.000,"PowerPerUnitFlow",0.000,0.000,-99996.000,"InAirStream",1.000,0.0000
,"BaseSys7or3b SupFan-7","VariableSpeedDrive","BaseAirSys7or3b-7","n/a",0.000,-99996.000,1.000,"PowerPerUnitFlow",0.000,0.000,-99996.000,"InAirStream",1.000,0.0000
,"BaseSys7or3b SupFan-8","VariableSpeedDrive","BaseAirSys7or3b-8","n/a",0.000,-99996.000,1.000,"PowerPerUnitFlow",0.000,0.000,-99996.000,"InAirStream",1.000,0.0000
,"BaseSys7or3b SupFan-9","VariableSpeedDrive","BaseAirSys7or3b-9","n/a",0.000,-99996.000,1.000,"PowerPerUnitFlow",0.000,0.000,-99996.000,"InAirStream",1.000,0.0000
,"BaseSys7or3b SupFan-10","VariableSpeedDrive","BaseAirSys7or3b-10","n/a",0.000,-99996.000,1.000,"PowerPerUnitFlow",0.000,0.000,-99996.000,"InAirStream",1.000,0.0000
,"BaseSys7or3b SupFan-11","VariableSpeedDrive","BaseAirSys7or3b-11","n/a",0.000,-99996.000,1.000,"PowerPerUnitFlow",0.000,0.000,-99996.000,"InAirStream",1.000,0.0000
,"BaseSys7or3b SupFan-12","VariableSpeedDrive","BaseAirSys7or3b-12","n/a",0.000,-99996.000,1.000,"PowerPerUnitFlow",0.000,0.000,-99996.000,"InAirStream",1.000,0.0000
,"BaseSys7or3b SupFan-13","VariableSpeedDrive","BaseAirSys7or3b-13","n/a",0.000,-99996.000,1.000,"PowerPerUnitFlow",0.000,0.000,-99996.000,"InAirStream",1.000,0.0000
,"BaseSys7or3b SupFan-14","VariableSpeedDrive","BaseAirSys7or3b-14","n/a",0.000,-99996.000,1.000,"PowerPerUnitFlow",0.000,0.000,-99996.000,"InAirStream",1.000,0.0000
,"BaseSys7or3b SupFan-15","VariableSpeedDrive","BaseAirSys7or3b-15","n/a",0.000,-99996.000,1.000,"PowerPerUnitFlow",0.000,0.000,-99996.000,"InAirStream",1.000,0.0000
,"BaseSys11 SupFan","ConstantVolume","BaseAirSys11","n/a",0.000,-99996.000,1.000,"PowerPerUnitFlow",0.000,0.000,-99996.000,"InAirStream",1.000,0.0000
,"BaseSys11 SupFan-2","ConstantVolume","BaseAirSys11-2","n/a",0.000,-99996.000,1.000,"PowerPerUnitFlow",0.000,0.000,-99996.000,"InAirStream",1.000,0.0000
,"BaseSys7or3b SupFan-16","VariableSpeedDrive","BaseAirSys7or3b-16","n/a",0.000,-99996.000,1.000,"PowerPerUnitFlow",0.000,0.000,-99996.000,"InAirStream",1.000,0.0000
,"BaseSys7or3b SupFan-17","VariableSpeedDrive","BaseAirSys7or3b-17","n/a",0.000,-99996.000,1.000,"PowerPerUnitFlow",0.000,0.000,-99996.000,"InAirStream",1.000,0.0000
,"BaseSys7or3b SupFan-18","VariableSpeedDrive","BaseAirSys7or3b-18","n/a",0.000,-99996.000,1.000,"PowerPerUnitFlow",0.000,0.000,-99996.000,"InAirStream",1.000,0.0000
,"BaseSys7or3b SupFan-19","VariableSpeedDrive","BaseAirSys7or3b-19","n/a",0.000,-99996.000,1.000,"PowerPerUnitFlow",0.000,0.000,-99996.000,"InAirStream",1.000,0.0000
ENDTABLE
TABLE EX06_NR_Class-Lab-DOAS-FPFC25OACtrl
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration
;
,"BaseSys5 OACtrl","NoEconomizer","BaseAirSys5","UNDEFINED"
,"BaseSys5 OACtrl-2","NoEconomizer","BaseAirSys5-2","UNDEFINED"
,"BaseSys7or3b OACtrl","NoEconomizer","BaseAirSys7or3b","UNDEFINED"
,"BaseSys7or3b OACtrl-2","NoEconomizer","BaseAirSys7or3b-2","UNDEFINED"
,"BaseSys7or3b OACtrl-3","NoEconomizer","BaseAirSys7or3b-3","UNDEFINED"
,"BaseSys7or3b OACtrl-4","NoEconomizer","BaseAirSys7or3b-4","UNDEFINED"
,"BaseSys7or3b OACtrl-5","NoEconomizer","BaseAirSys7or3b-5","UNDEFINED"
,"BaseSys7or3b OACtrl-6","NoEconomizer","BaseAirSys7or3b-6","UNDEFINED"
,"BaseSys7or3b OACtrl-7","NoEconomizer","BaseAirSys7or3b-7","UNDEFINED"
,"BaseSys7or3b OACtrl-8","NoEconomizer","BaseAirSys7or3b-8","UNDEFINED"
,"BaseSys7or3b OACtrl-9","NoEconomizer","BaseAirSys7or3b-9","UNDEFINED"
,"BaseSys7or3b OACtrl-10","NoEconomizer","BaseAirSys7or3b-10","UNDEFINED"
,"BaseSys7or3b OACtrl-11","NoEconomizer","BaseAirSys7or3b-11","UNDEFINED"
,"BaseSys7or3b OACtrl-12","NoEconomizer","BaseAirSys7or3b-12","UNDEFINED"
,"BaseSys7or3b OACtrl-13","NoEconomizer","BaseAirSys7or3b-13","UNDEFINED"
,"BaseSys7or3b OACtrl-14","NoEconomizer","BaseAirSys7or3b-14","UNDEFINED"
,"BaseSys7or3b OACtrl-15","NoEconomizer","BaseAirSys7or3b-15","UNDEFINED"
,"BaseSys11 OACtrl","NoEconomizer","BaseAirSys11","UNDEFINED"
,"BaseSys11 OACtrl-2","NoEconomizer","BaseAirSys11-2","UNDEFINED"
,"BaseSys7or3b OACtrl-16","NoEconomizer","BaseAirSys7or3b-16","UNDEFINED"
,"BaseSys7or3b OACtrl-17","NoEconomizer","BaseAirSys7or3b-17","UNDEFINED"
,"BaseSys7or3b OACtrl-18","NoEconomizer","BaseAirSys7or3b-18","UNDEFINED"
,"BaseSys7or3b OACtrl-19","NoEconomizer","BaseAirSys7or3b-19","UNDEFINED"
ENDTABLE
