,,,,,,,,,,,,Aged Thermal Emittance,,ThrmlAbs,,Aged Solar Reflectance,,SolAbs,
Name,Status,Name,Occupancy Classification,Conditioning Status,Assigned Occ Class (Ref),Area,Tilt,Slope Category,Cons Name,Construction Type,U-Factor,Roof,Cons,Roof,Cons,Roof,Cons,Roof,Cons
,,,,,,(ft2),(deg),,,,(Btu/h-?F-ft2),(frac.),(frac.),(frac.),(frac.),(frac.),(frac.),(frac.),(frac.),
"RCA_Corridor 3_1_140","New","RCA_Corridor 3 Space","Nonresidential","DirectlyConditioned",330.19,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 3_1_141","New","RCA_Corridor 3 Space","Nonresidential","DirectlyConditioned",76.40,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 3_1_142","New","RCA_Corridor 3 Space","Nonresidential","DirectlyConditioned",69.11,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 3_1_143","New","RCA_Corridor 3 Space","Nonresidential","DirectlyConditioned",472.37,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 3_1_146","New","RCA_Corridor 3 Space","Nonresidential","DirectlyConditioned",472.37,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_IT Room 1_1_256","New","RCA_IT Room 1 Space","Nonresidential","DirectlyConditioned",156.35,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_IT Room 1_1_257","New","RCA_IT Room 1 Space","Nonresidential","DirectlyConditioned",114.99,-99996,"NACM_Interior Wall","MetalFrameWall",0.141
"RCA_Lobby 1_1_335","New","RCA_Lobby 1 Space","Nonresidential","DirectlyConditioned",196.25,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Lobby 1_1_336","New","RCA_Lobby 1 Space","Nonresidential","DirectlyConditioned",90.50,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Open Office 1_1_65","New","RCA_Open Office 1 Space","Nonresidential","DirectlyConditioned",685.37,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Open Office 2_1_72","New","RCA_Open Office 2 Space","Nonresidential","DirectlyConditioned",580.31,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Restrooms 1_1_491","New","RCA_Restrooms 1 Space","Nonresidential","Unconditioned",323.49,-99996,"NACM_Interior Wall","MetalFrameWall",0.141
"B1_Reception 1_1_205","New","B1_Reception 1 Space","Nonresidential","DirectlyConditioned",202.17,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"B1_Reception 1_1_207","New","B1_Reception 1 Space","Nonresidential","DirectlyConditioned",202.17,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"B1_Reception 1_1_208","New","B1_Reception 1 Space","Nonresidential","DirectlyConditioned",29.17,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"B1_Reception 1_1_209","New","B1_Reception 1 Space","Nonresidential","DirectlyConditioned",97.40,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"Class Room 1_1_285","New","Class Room 1 Space","Nonresidential","DirectlyConditioned",380.70,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"Class Room 1_1_287","New","Class Room 1 Space","Nonresidential","DirectlyConditioned",496.44,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"Class Room 1_1_289","New","Class Room 1 Space","Nonresidential","DirectlyConditioned",347.01,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"Class Room 1_1_290","New","Class Room 1 Space","Nonresidential","DirectlyConditioned",496.44,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"Collaboration Space 1_1_216","New","Collaboration Space 1 Space","Nonresidential","DirectlyConditioned",66.75,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"Collaboration Space 1_1_217","New","Collaboration Space 1 Space","Nonresidential","DirectlyConditioned",139.77,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"Collaboration Space 1_1_218","New","Collaboration Space 1 Space","Nonresidential","DirectlyConditioned",460.83,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"Collaboration Space 1_1_221","New","Collaboration Space 1 Space","Nonresidential","DirectlyConditioned",202.47,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"Collaboration Space 1_1_222","New","Collaboration Space 1 Space","Nonresidential","DirectlyConditioned",147.07,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"Huddle 1_1_20","New","Huddle 1 Space","Nonresidential","DirectlyConditioned",183.75,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"Huddle 1_1_23","New","Huddle 1 Space","Nonresidential","DirectlyConditioned",164.57,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"Huddle 1_1_24","New","Huddle 1 Space","Nonresidential","DirectlyConditioned",139.82,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Conference Room 2_1_28","New","RCA_Conference Room 2 Space","Nonresidential","DirectlyConditioned",135.84,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Conference Room 2_1_36","New","RCA_Conference Room 2 Space","Nonresidential","DirectlyConditioned",301.82,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Conference Room 2_1_43","New","RCA_Conference Room 2 Space","Nonresidential","DirectlyConditioned",133.53,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Conference Room 2_1_44","New","RCA_Conference Room 2 Space","Nonresidential","DirectlyConditioned",143.32,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Conference Room 2_1_48","New","RCA_Conference Room 2 Space","Nonresidential","DirectlyConditioned",135.44,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Conference Room 3_1_263","New","RCA_Conference Room 3 Space","Nonresidential","DirectlyConditioned",260.22,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Conference Room 3_1_264","New","RCA_Conference Room 3 Space","Nonresidential","DirectlyConditioned",195.35,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Conference Room 3_1_265","New","RCA_Conference Room 3 Space","Nonresidential","DirectlyConditioned",260.22,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Conference Room 3_1_268","New","RCA_Conference Room 3 Space","Nonresidential","DirectlyConditioned",152.04,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Conference Room 3_1_269","New","RCA_Conference Room 3 Space","Nonresidential","DirectlyConditioned",152.04,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Conference Room 3_1_270","New","RCA_Conference Room 3 Space","Nonresidential","DirectlyConditioned",185.34,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Conference Room 4_1_320","New","RCA_Conference Room 4 Space","Nonresidential","DirectlyConditioned",84.74,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Conference Room 4_1_321","New","RCA_Conference Room 4 Space","Nonresidential","DirectlyConditioned",68.32,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Conference Room 4_1_326","New","RCA_Conference Room 4 Space","Nonresidential","DirectlyConditioned",183.75,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 4_1_148","New","RCA_Corridor 4 Space","Nonresidential","DirectlyConditioned",146.39,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 4_1_149","New","RCA_Corridor 4 Space","Nonresidential","DirectlyConditioned",65.67,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 4_1_151","New","RCA_Corridor 4 Space","Nonresidential","DirectlyConditioned",152.04,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 4_1_152","New","RCA_Corridor 4 Space","Nonresidential","DirectlyConditioned",195.35,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 4_1_156","New","RCA_Corridor 4 Space","Nonresidential","DirectlyConditioned",87.67,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 4_1_162","New","RCA_Corridor 4 Space","Nonresidential","DirectlyConditioned",219.28,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 4_1_163","New","RCA_Corridor 4 Space","Nonresidential","DirectlyConditioned",465.72,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 4_1_164","New","RCA_Corridor 4 Space","Nonresidential","DirectlyConditioned",265.01,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 4_1_165","New","RCA_Corridor 4 Space","Nonresidential","DirectlyConditioned",85.75,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 5_1_169","New","RCA_Corridor 5 Space","Nonresidential","DirectlyConditioned",164.57,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 5_1_171","New","RCA_Corridor 5 Space","Nonresidential","DirectlyConditioned",348.24,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 5_1_172","New","RCA_Corridor 5 Space","Nonresidential","DirectlyConditioned",107.67,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 5_1_174","New","RCA_Corridor 5 Space","Nonresidential","DirectlyConditioned",291.35,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 6_1_178","New","RCA_Corridor 6 Space","Nonresidential","DirectlyConditioned",99.29,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 6_1_179","New","RCA_Corridor 6 Space","Nonresidential","DirectlyConditioned",347.01,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 6_1_184","New","RCA_Corridor 6 Space","Nonresidential","DirectlyConditioned",332.80,-99996,"NACM_Interior Wall","MetalFrameWall",0.141
"RCA_Corridor 6_1_185","New","RCA_Corridor 6 Space","Nonresidential","DirectlyConditioned",195.79,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 6_1_187","New","RCA_Corridor 6 Space","Nonresidential","DirectlyConditioned",501.03,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 7_1_192","New","RCA_Corridor 7 Space","Nonresidential","DirectlyConditioned",197.07,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 7_1_193","New","RCA_Corridor 7 Space","Nonresidential","DirectlyConditioned",98.41,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 7_1_194","New","RCA_Corridor 7 Space","Nonresidential","DirectlyConditioned",17.00,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 7_1_200","New","RCA_Corridor 7 Space","Nonresidential","DirectlyConditioned",72.63,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 8_1_295","New","RCA_Corridor 8 Space","Nonresidential","DirectlyConditioned",130.73,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 8_1_297","New","RCA_Corridor 8 Space","Nonresidential","DirectlyConditioned",363.60,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Corridor 8_1_298","New","RCA_Corridor 8 Space","Nonresidential","DirectlyConditioned",99.25,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_IT Room 2_1_370","New","RCA_IT Room 2 Space","Nonresidential","DirectlyConditioned",146.39,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_IT Room 2_1_371","New","RCA_IT Room 2 Space","Nonresidential","DirectlyConditioned",107.67,-99996,"NACM_Interior Wall","MetalFrameWall",0.141
"RCA_Kitchen Break Room 1_1_231","New","RCA_Kitchen Break Room 1 Space","Nonresidential","DirectlyConditioned",460.84,-99996,"NACM_Interior Wall","MetalFrameWall",0.141
"RCA_Open Office 4_1_91","New","RCA_Open Office 4 Space","Nonresidential","DirectlyConditioned",757.07,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Open Office 5_1_98","New","RCA_Open Office 5 Space","Nonresidential","DirectlyConditioned",429.21,-99996,"NACM_Interior Wall","UNDEFINED",0.141
"RCA_Restrooms 2_1_55","New","RCA_Restrooms 2 Space","Nonresidential","Unconditioned",302.89,-99996,"NACM_Interior Wall","MetalFrameWall",0.141



Interior Floor
,,Space
Name,Status,Name,Occupancy Classification,Conditioning Status,Area,Cons Name,Construction Type,U Factor
,,,,,(ft2),,,(Btu/h-?F-ft2)
"B1_Reception 1_1_203","New","B1_Reception 1 Space","Nonresidential","DirectlyConditioned",70.19,"NACM_Drop Ceiling","UNDEFINED",0.292
"B1_Reception 1_1_204","New","B1_Reception 1 Space","Nonresidential","DirectlyConditioned",65.15,"NACM_Drop Ceiling","UNDEFINED",0.292
"Class Room 1_1_284","New","Class Room 1 Space","Nonresidential","DirectlyConditioned",1122.03,"NACM_Drop Ceiling","UNDEFINED",0.292
"Collaboration Space 1_1_211","New","Collaboration Space 1 Space","Nonresidential","DirectlyConditioned",193.84,"NACM_Drop Ceiling","UNDEFINED",0.292
"Collaboration Space 1_1_212","New","Collaboration Space 1 Space","Nonresidential","DirectlyConditioned",327.34,"NACM_Drop Ceiling","UNDEFINED",0.292
"Collaboration Space 1_1_213","New","Collaboration Space 1 Space","Nonresidential","DirectlyConditioned",135.88,"NACM_Drop Ceiling","UNDEFINED",0.292
"Collaboration Space 1_1_215","New","Collaboration Space 1 Space","Nonresidential","DirectlyConditioned",227.24,"NACM_Drop Ceiling","UNDEFINED",0.292
"Huddle 1_1_16","New","Huddle 1 Space","Nonresidential","DirectlyConditioned",125.17,"NACM_Drop Ceiling","UNDEFINED",0.292
"Huddle 1_1_18","New","Huddle 1 Space","Nonresidential","DirectlyConditioned",122.51,"NACM_Drop Ceiling","UNDEFINED",0.292
"Huddle 1_1_19","New","Huddle 1 Space","Nonresidential","DirectlyConditioned",107.17,"NACM_Drop Ceiling","UNDEFINED",0.292
"Huddle 2_1_234","New","Huddle 2 Space","Nonresidential","DirectlyConditioned",57.57,"NACM_Drop Ceiling","UNDEFINED",0.292
"Huddle 2_1_236","New","Huddle 2 Space","Nonresidential","DirectlyConditioned",65.42,"NACM_Drop Ceiling","UNDEFINED",0.292
"Huddle 2_1_241","New","Huddle 2 Space","Nonresidential","DirectlyConditioned",169.33,"NACM_Drop Ceiling","UNDEFINED",0.292
"RCA_Conference Room 2_1_26","New","RCA_Conference Room 2 Space","Nonresidential","DirectlyConditioned",149.89,"NACM_Drop Ceiling","UNDEFINED",0.292
"RCA_Conference Room 2_1_31","New","RCA_Conference Room 2 Space","Nonresidential","DirectlyConditioned",333.03,"NACM_Drop Ceiling","UNDEFINED",0.292
"RCA_Conference Room 2_1_38","New","RCA_Conference Room 2 Space","Nonresidential","DirectlyConditioned",158.14,"NACM_Drop Ceiling","UNDEFINED",0.292
"RCA_Conference Room 2_1_46","New","RCA_Conference Room 2 Space","Nonresidential","DirectlyConditioned",149.45,"NACM_Drop Ceiling","UNDEFINED",0.292
"RCA_Conference Room 3_1_261","New","RCA_Conference Room 3 Space","Nonresidential","DirectlyConditioned",660.15,"NACM_Drop Ceiling","UNDEFINED",0.292
"RCA_Conference Room 3_1_267","New","RCA_Conference Room 3 Space","Nonresidential","DirectlyConditioned",187.79,"NACM_Drop Ceiling","UNDEFINED",0.292
"RCA_Conference Room 4_1_317","New","RCA_Conference Room 4 Space","Nonresidential","DirectlyConditioned",337.02,"NACM_Drop Ceiling","UNDEFINED",0.292
"RCA_Corridor 4_1_147","New","RCA_Corridor 4 Space","Nonresidential","DirectlyConditioned",823.21,"NACM_Drop Ceiling","UNDEFINED",0.292
"RCA_Corridor 5_1_167","New","RCA_Corridor 5 Space","Nonresidential","DirectlyConditioned",260.52,"NACM_Drop Ceiling","UNDEFINED",0.292
"RCA_Corridor 6_1_176","New","RCA_Corridor 6 Space","Nonresidential","DirectlyConditioned",485.02,"NACM_Drop Ceiling","UNDEFINED",0.292
"RCA_Corridor 7_1_189","New","RCA_Corridor 7 Space","Nonresidential","DirectlyConditioned",384.69,"NACM_Drop Ceiling","UNDEFINED",0.292
"RCA_Corridor 7_1_190","New","RCA_Corridor 7 Space","Nonresidential","DirectlyConditioned",65.78,"NACM_Drop Ceiling","UNDEFINED",0.292
"RCA_Corridor 8_1_294","New","RCA_Corridor 8 Space","Nonresidential","DirectlyConditioned",535.15,"NACM_Drop Ceiling","UNDEFINED",0.292
"RCA_Corridor 8_1_296","New","RCA_Corridor 8 Space","Nonresidential","DirectlyConditioned",409.22,"NACM_Drop Ceiling","UNDEFINED",0.292
"RCA_Corridor 9_1_310","New","RCA_Corridor 9 Space","Nonresidential","DirectlyConditioned",449.81,"NACM_Drop Ceiling","UNDEFINED",0.292
"RCA_IT Room 2_1_369","New","RCA_IT Room 2 Space","Nonresidential","DirectlyConditioned",105.03,"NACM_Drop Ceiling","UNDEFINED",0.292
"RCA_Kitchen Break Room 1_1_226","New","RCA_Kitchen Break Room 1 Space","Nonresidential","DirectlyConditioned",243.24,"NACM_Drop Ceiling","UNDEFINED",0.292
"RCA_Kitchen Break Room 1_1_227","New","RCA_Kitchen Break Room 1 Space","Nonresidential","DirectlyConditioned",220.43,"NACM_Drop Ceiling","UNDEFINED",0.292
"RCA_Kitchen Break Room 1_1_228","New","RCA_Kitchen Break Room 1 Space","Nonresidential","DirectlyConditioned",13.56,"NACM_Drop Ceiling","UNDEFINED",0.292
"RCA_Open Office 4_1_88","New","RCA_Open Office 4 Space","Nonresidential","DirectlyConditioned",785.78,"NACM_Drop Ceiling","UNDEFINED",0.292
"RCA_Open Office 4_1_90","New","RCA_Open Office 4 Space","Nonresidential","DirectlyConditioned",141.24,"NACM_Drop Ceiling","UNDEFINED",0.292
"RCA_Open Office 5_1_96","New","RCA_Open Office 5 Space","Nonresidential","DirectlyConditioned",470.69,"NACM_Drop Ceiling","UNDEFINED",0.292
"RCA_Open Office 6_1_103","New","RCA_Open Office 6 Space","Nonresidential","DirectlyConditioned",2028.56,"NACM_Drop Ceiling","UNDEFINED",0.292
"RCA_Open Office 6_1_104","New","RCA_Open Office 6 Space","Nonresidential","DirectlyConditioned",19.74,"NACM_Drop Ceiling","UNDEFINED",0.292
"RCA_Restrooms 2_1_51","New","RCA_Restrooms 2 Space","Nonresidential","Unconditioned",654.06,"NACM_Drop Ceiling","UNDEFINED",0.292
"RCA_Restrooms 2_1_52","New","RCA_Restrooms 2 Space","Nonresidential","Unconditioned",31.62,"NACM_Drop Ceiling","WoodFramingAndOtherRoof",0.292
"RCA_Restrooms 2_1_53","New","RCA_Restrooms 2 Space","Nonresidential","Unconditioned",125.50,"NACM_Drop Ceiling","WoodFramingAndOtherRoof",0.292
"RCA_Store 1_1_247","New","RCA_Store 1 Space","Nonresidential","DirectlyConditioned",339.72,"NACM_Drop Ceiling","UNDEFINED",0.292
"RCA_Store 2_1_272","New","RCA_Store 2 Space","Nonresidential","DirectlyConditioned",197.93,"NACM_Drop Ceiling","UNDEFINED",0.292
"RCA_Store 3_1_278","New","RCA_Store 3 Space","Nonresidential","DirectlyConditioned",133.30,"NACM_Drop Ceiling","UNDEFINED",0.292



Construction Assembly
Name,Surface Type,Material Layer 1 (CodeItem),Material Layer 2 (CodeItem),Material Layer 3 (CodeItem),Material Layer 4 (CodeItem),Material Layer 5 (CodeItem), Material Layer 6 (CodeItem), Material Layer 7 (CodeItem), Material Layer 8 (CodeItem), Material Layer 9 (CodeItem), Material Layer 10 (CodeItem)
"Base_CZ12-SlabOnOrBelowGradeF073","UndergroundFloor","","","","","","","","","",""
"Base_CZ12-NonresMetalFrameWallU055","ExteriorWall","Stucco - 7/8 in.","Compliance Insulation R14.60","Compliance Insulation R1.41","Compliance Insulation R0.02","Compliance Insulation R0.02","Air - Metal Wall Framing - 16 or 24 in. OC","Gypsum Board - 1/2 in.","","",""
"NACM_Interior Wall","InteriorWall","Gypsum Board - 5/8 in.","Air - Metal Wall Framing - 16 or 24 in. OC","Compliance Insulation R4.50","","","","","","",""
"Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","Roof","Metal Standing Seam - 1/16 in.","Compliance Insulation R34.93","","","","","","","",""
"Base_CZ12-NonresOtherFloorU071","ExteriorFloor","Metal Deck - 1/16 in.","Compliance Insulation R14.60","Carpet - 3/4 in.","","","","","","",""
"NACM_Drop Ceiling","InteriorFloor","Acoustic Tile - 3/4 in.","","","","","","","","",""



Construction Materials
Name,Code Item,Type,R-value,Thickness,Frame Type,Frame Configuration,Frame Depth, Frame Cavity Insulation(for composite material)
,,,(?F-ft2-h/Btuh),(in),,,,(?F-ft2-h/Btuh)
"Stucco - 7/8 in.","Stucco - 7/8 in.","Plastering Materials",0.180,0.880,"- specify -","- specify -","- specify -",0.000
"Compliance Insulation R14.60","Compliance Insulation R14.60","Insulation Board",14.600,2.330,"- specify -","- specify -","- specify -",0.000
"Compliance Insulation R1.41","Compliance Insulation R1.41","Insulation Board",1.410,0.225,"- specify -","- specify -","- specify -",0.000
"Compliance Insulation R0.02","Compliance Insulation R0.02","Insulation Board",0.020,0.003,"- specify -","- specify -","- specify -",0.000
"Air - Metal Wall Framing - 16 or 24 in. OC","Air - Metal Wall Framing - 16 or 24 in. OC","Air",0.650,5.500,"- specify -","- specify -","- specify -",0.000
"Gypsum Board - 1/2 in.","Gypsum Board - 1/2 in.","Bldg Board and Siding",0.450,0.500,"- specify -","- specify -","- specify -",0.000
"Gypsum Board - 5/8 in.","Gypsum Board - 5/8 in.","Bldg Board and Siding",0.560,0.630,"- specify -","- specify -","- specify -",0.000
"Metal Standing Seam - 1/16 in.","Metal Standing Seam - 1/16 in.","Roofing",0.000,0.063,"- specify -","- specify -","- specify -",0.000
"Compliance Insulation R34.93","Compliance Insulation R34.93","Insulation Board",34.930,5.575,"- specify -","- specify -","- specify -",0.000
"Acoustic Tile - 3/4 in.","Acoustic Tile - 3/4 in.","Finish Materials",1.890,0.750,"- specify -","- specify -","- specify -",0.000
"Metal Deck - 1/16 in.","Metal Deck - 1/16 in.","Bldg Board and Siding",0.000,0.063,"- specify -","- specify -","- specify -",0.000
"Carpet - 3/4 in.","Carpet - 3/4 in.","Finish Materials",2.380,0.750,"- specify -","- specify -","- specify -",0.000
"Compliance Insulation Int wall","Compliance Insulation R4.50","Insulation Board",4.500,0.718,"- specify -","- specify -","- specify -",0.000
