,,,,,,,,,,,,Aged Thermal Emittance,,ThrmlAbs,,Aged Solar Reflectance,,SolAbs,
Name,Status,Name,Occupancy Classification,Conditioning Status,Assigned Occ Class (Ref),Area,Tilt,Slope Category,Cons Name,Construction Type,U-Factor,Roof,Cons,Roof,Cons,Roof,Cons,Roof,Cons
,,,,,,(ft2),(deg),,,,(Btu/h-?F-ft2),(frac.),(frac.),(frac.),(frac.),(frac.),(frac.),(frac.),(frac.),
"RCA_Conference Room 1_1_7","New","RCA_Conference Room 1 Space","Nonresidential","DirectlyConditioned","NonResidential",145.32,195,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,93.38
"RCA_Conference Room 1_1_8","New","RCA_Conference Room 1 Space","Nonresidential","DirectlyConditioned","NonResidential",17.17,195.002,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Conference Room 1_1_9","New","RCA_Conference Room 1 Space","Nonresidential","DirectlyConditioned","NonResidential",158.54,195,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,102.13
"RCA_Conference Room 5_1_416","New","RCA_Conference Room 5 Space","Nonresidential","DirectlyConditioned","NonResidential",50.26,104.997,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Conference Room 5_1_417","New","RCA_Conference Room 5 Space","Nonresidential","DirectlyConditioned","NonResidential",65.31,195.001,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Conference Room 5_1_418","New","RCA_Conference Room 5 Space","Nonresidential","DirectlyConditioned","NonResidential",553.09,195,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,405.43
"RCA_Conference Room 5_1_419","New","RCA_Conference Room 5 Space","Nonresidential","DirectlyConditioned","NonResidential",84.80,195,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Corridor 10_1_344","New","RCA_Corridor 10 Space","Nonresidential","DirectlyConditioned","NonResidential",43.62,15.0002,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,30.18
"RCA_Corridor 10_1_348","New","RCA_Corridor 10 Space","Nonresidential","DirectlyConditioned","NonResidential",169.13,285,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,42.22
"RCA_Corridor 10_1_351","New","RCA_Corridor 10 Space","Nonresidential","DirectlyConditioned","NonResidential",29.23,15.0002,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
