,,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,LSC Multipliers,,,Source Energy Multipliers,,,CO2 Emissions Multipliers,,,Elec Demand,Building Wide,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery,NEM3 LSC,
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),($/kWh),($/MBtu),($/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh),(mult)
1,2,17, 01/02 17,0.813319,0.0226983,7.82696,0,0,0,5.07438,15.2998,0,0.120387,0.0875426,13.7374,29.2451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2996,626.966,894.518,6.19968,89.9626,100,0.000328025,0.0054633,0.006288,0,-0.0646856,0,3.07049,
1,2,18, 01/02 18,2.47063,0.0245362,7.82696,0,0,0,2.88087,8.79298,0,0.064824,0.0875426,13.203,22.1483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.80498,626.966,894.518,7.16031,89.9626,100,0.000378852,0.0054633,0.006288,0,0,0,3.45732,
1,2,19, 01/02 19,4.42615,0.0226983,7.82696,0,0,0,2.44717,5.53958,0,0.0555634,0.0875426,14.723,20.4057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.79057,626.966,894.518,8.51113,89.9626,100,0.000450324,0.0054633,0.006288,0.000284725,0,0,4.97713,
1,2,20, 01/02 20,4.60859,0.0226983,7.82696,0,0,0,2.43069,5.53958,0,0.0555634,0.0875426,14.8889,20.5716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2422,626.966,894.518,8.50474,89.9626,100,0.000449986,0.0054633,0.006288,0.00038495,0,0,5.32284,
1,2,21, 01/02 21,5.8334,0.0226983,7.82696,0,0,0,1.62266,3.91288,0,0.0370423,0.0875426,15.3057,19.3432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3692,626.966,894.518,8.48575,89.9626,100,0.000448981,0.0054633,0.006288,0.000461274,0,0,5.42002,
1,2,22, 01/02 22,6.32102,0.0226983,7.82696,0,0,0,1.62266,3.91288,0,0.0370423,0.0875426,15.7933,19.8308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6652,626.966,894.518,8.50291,89.9626,100,0.000449889,0.0054633,0.006288,0.00092845,0,0,6.412,
1,2,23, 01/02 23,7.61696,0.0226983,7.82696,0,0,0,0.814626,2.28618,0,0.0185211,0.0875426,16.2812,18.6735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5194,626.966,894.518,8.49235,89.9626,100,0.00044933,0.0054633,0.006288,0.00129511,0,0,7.0658,
1,2,24, 01/02 24,8.42932,0.0226983,7.82696,0,0,0,0.41061,1.47283,0,0.00926056,0.0875426,16.6896,18.2592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4849,626.966,894.518,8.49617,89.9626,100,0.000449532,0.0054633,0.006288,0.00200438,0,0,8.57027,
1,3,1, 01/03 01,0.3739,0.0226983,0.58638,0,0,0,0.407313,1.47283,0,0.00926056,0,1.39029,2.87238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5344,626.966,894.518,8.66731,89.9626,100,0.000458588,0.0054633,0.006288,0.00315686,0,0,12.4352,
1,3,2, 01/03 02,0.3739,0.0226983,0.58638,0,0,0,0.407313,1.47283,0,0.00926056,0,1.39029,2.87238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.9944,626.966,894.518,8.66731,89.9626,100,0.000458588,0.0054633,0.006288,0.00289045,0,0,11.2565,
1,3,3, 01/03 03,0.3739,0.0226983,0.58638,0,0,0,0.407313,1.47283,0,0.00926056,0,1.39029,2.87238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1557,626.966,894.518,8.66731,89.9626,100,0.000458588,0.0054633,0.006288,0.00147004,0,0,8.3183,
1,3,4, 01/03 04,0.377497,0.0226983,1.02341,0,0,0,0.407313,1.47283,0,0.00926056,0,1.83092,3.31301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4297,626.966,894.518,8.66731,89.9626,100,0.000458588,0.0054633,0.006288,0.000826297,0,0,6.99717,
1,3,5, 01/03 05,0.561992,0.0226983,2.86344,0,0,0,0.407313,1.47283,0,0.00926056,0,3.85545,5.33753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9182,626.966,894.518,8.66731,89.9626,100,0.000458588,0.0054633,0.006288,0.000617401,0,0,6.60562,
1,3,6, 01/03 06,16.8343,0.0226983,7.82696,0,0,0,0.41061,1.47283,0,0.00926056,0.0875426,25.0945,26.6642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7155,626.966,894.518,8.66731,89.9626,100,0.000458588,0.0054633,0.006288,0.000899268,0,0,7.21596,
